X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
906;587;0.4722016;0.5439519;0.4617875;0.6010048;737.6;0.2064654;False;12/21/2025 10:50:21 PM:462;1766332221462;;
906;588;0.4721674;0.545235;0.4617605;0.6009663;737.8;0.2066471;False;12/21/2025 10:50:21 PM:497;1766332221497;;
906;591;0.4721026;0.547838;0.4642117;0.6162295;742.2;0.2225279;False;12/21/2025 10:50:21 PM:533;1766332221533;;
906;593;0.47201;0.5496794;0.4675685;0.6085289;746.1;0.222825;False;12/21/2025 10:50:21 PM:593;1766332221593;;
906;533;0.472032;0.4943108;0.4729785;0.3327904;749.0;0.2143073;False;12/21/2025 10:50:21 PM:630;1766332221630;;
906;552;0.4722289;0.5113905;0.4787746;0.6484601;742.8;0.2052878;False;12/21/2025 10:50:21 PM:666;1766332221666;;
906;564;0.4723522;0.5226381;0.4779703;0.6440867;737.3;0.2059703;False;12/21/2025 10:50:21 PM:698;1766332221698;;
896;579;0.4667372;0.5365608;0.4168004;0.6664816;733.5;0.2033954;False;12/21/2025 10:50:21 PM:733;1766332221733;;
888;590;0.4625643;0.5469598;0.4168253;0.6664839;730.0;0.2034243;False;12/21/2025 10:50:21 PM:766;1766332221766;;
890;597;0.4638692;0.5534014;0.482814;0.655761;726.1;0.2076303;False;12/21/2025 10:50:21 PM:803;1766332221803;;
892;605;0.4646589;0.5602826;0.4807508;0.6681028;722.6;0.2079819;False;12/21/2025 10:50:21 PM:838;1766332221838;;
892;609;0.4646956;0.5644684;0.4675805;0.6592725;721.3;0.2121601;False;12/21/2025 10:50:21 PM:875;1766332221875;;
892;613;0.4647236;0.567656;0.4675341;0.6592689;720.1;0.2120783;False;12/21/2025 10:50:21 PM:910;1766332221910;;
893;618;0.4655723;0.5726736;0.4846031;0.676366;717.6;0.2167178;False;12/21/2025 10:50:21 PM:944;1766332221944;;
894;624;0.4660311;0.5778261;0.4816764;0.6847834;715.4;0.2174495;False;12/21/2025 10:50:21 PM:977;1766332221977;;
895;634;0.4661924;0.5873963;0.4770969;0.7151128;716.5;0.2204039;False;12/21/2025 10:50:22 PM:10;1766332222010;;
895;642;0.4663217;0.5947483;0.4770686;0.7151023;717.4;0.2207592;False;12/21/2025 10:50:22 PM:42;1766332222042;;
896;642;0.4666879;0.5952116;0.4827778;0.6752601;716.9;0.2032751;False;12/21/2025 10:50:22 PM:76;1766332222076;;
896;643;0.4669843;0.5955939;0.4827847;0.6752618;716.5;0.2032041;False;12/21/2025 10:50:22 PM:111;1766332222111;;
897;643;0.4675959;0.5958887;0.4891495;0.668835;715.4;0.2143589;False;12/21/2025 10:50:22 PM:144;1766332222144;;
898;643;0.468063;0.5962286;0.488718;0.6750519;714.5;0.2147247;False;12/21/2025 10:50:22 PM:177;1766332222177;;
898;645;0.4678535;0.5979253;0.4624526;0.6299316;723.3;0.2215499;False;12/21/2025 10:50:22 PM:213;1766332222213;;
897;647;0.4676991;0.599176;0.4624945;0.6299561;731.2;0.2211871;False;12/21/2025 10:50:22 PM:245;1766332222245;;
895;643;0.4666007;0.5956239;0.4469182;0.5631871;739.9;0.2239758;False;12/21/2025 10:50:22 PM:279;1766332222279;;
894;642;0.4657878;0.5948166;0.4472622;0.5825904;747.7;0.2241039;False;12/21/2025 10:50:22 PM:309;1766332222309;;
892;647;0.4648821;0.5998228;0.4466512;0.6772678;746.4;0.2289593;False;12/21/2025 10:50:22 PM:352;1766332222352;;
891;647;0.4644043;0.5998567;0.4483186;0.6416091;749.3;0.2398367;False;12/21/2025 10:50:22 PM:387;1766332222387;;
890;649;0.4640373;0.6009709;0.4482737;0.6584373;751.9;0.2428486;False;12/21/2025 10:50:22 PM:420;1766332222420;;
